"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","100","4700","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","15","17","3.52","2.856","5.9","60.0","40.0","0.0","0.0","2","0","3","6","4","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","110","4701","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","24","33","3.6","3.058","0","62.5","37.5","0.0","0.0","9","2","11","2","1","7","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","113","12610","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","10","11","3.8","2.561","0","80.0","20.0","0.0","0.0","1","2","5","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","120","4702","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","9","11","4","3.572","0","100.0","0.0","0.0","0.0","2","7","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","150","4703","SURV CULTR OF BLACK AMERICANS","Smith,Candis D","84","102","2.712","2.723","2.1","32.1","31.0","22.6","6.0","25","6","11","10","9","9","8","6","10","3","2","3","0","7","10","8","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","154","33513","HISTORY OF RACE IN AMERICAS","Sterling,Andrea Marie","34","49","3.635","3.22","0","61.8","38.2","0.0","0.0","15","7","12","2","6","5","2","0","0","0","0","0","0","0","2","12","1","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","8W2","Eight Week - Second","AAAD","AAAD-A","203","35924","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","12","21","2.283","2.784","5.6","16.7","41.7","16.7","8.3","11","0","0","2","1","2","2","1","1","0","0","1","0","2","6","3","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","210","32167","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","17","24","2.718","2.657","8.7","29.4","47.1","11.8","0.0","9","0","2","3","1","4","3","0","1","1","0","0","0","2","6","1","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","222","31251","BLACK WOMEN ARTISTS","Wolfskill,Phoebe","25","32","2.84","2.737","0","28.0","40.0","24.0","4.0","8","0","4","3","3","6","1","2","3","1","0","1","0","1","3","3","1","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","238","11102","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","25","39","3.028","2.978","2.9","16.0","84.0","0.0","0.0","14","0","0","4","4","6","11","0","0","0","0","0","0","0","9","4","1","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","249","11100","AFRICAN AMERICAN AUTOBIOGRAPHY","Amoah-Ramey,Nana Abena Dansowaa","19","25","2.553","2.597","9.5","15.8","42.1","31.6","10.5","6","0","0","3","1","5","2","1","2","3","1","1","0","0","2","4","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","8W2","Eight Week - Second","AAAD","AAAD-A","255","30960","THE BLACK CHURCH IN AMERICA","Grim,Valerie","28","48","2.364","2.772","2.9","17.9","39.3","25.0","3.6","24","0","2","3","2","4","5","1","5","1","0","1","0","4","7","13","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","265","4708","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","119","139","3.114","2.725","0","33.6","52.9","9.2","1.7","23","2","16","22","20","34","9","4","5","2","1","1","0","3","7","12","1","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","295","8692","SURVEY OF HIP HOP","Orejuela,Fernando","83","100","3.106","3.1","0","34.9","47.0","13.3","4.8","17","2","13","14","13","14","12","9","1","1","2","1","1","0","7","10","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","332","31249","ART OF CIVIL RIGHTS MOVEMENT","Wolfskill,Phoebe","28","32","2.954","3.046","3.4","21.4","57.1","17.9","3.6","4","0","5","1","7","5","4","1","0","4","0","1","0","0","0","3","1","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","337","12611","SOUL REVUE ADV STU PRACT","Strong Jr,James Augustas","5","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","338","12612","AF AM DANCE CO ADV STDIES PRAC","Berry Jr,Stafford C","6","9","3.283","2.552","0","50.0","33.3","16.7","0.0","3","0","1","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","339","12613","AACE ADV STU AND PRACT","Wise,Raymond","5","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","356","4715","AFRICAN-AMERICAN HISTORY II","Williams,Jakobi","38","44","3.237","2.987","10","34.2","55.3","10.5","0.0","6","0","9","4","9","6","6","1","3","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","380","6603","CONTEMP BLACK AMER WRITING","Amoah-Ramey,Nana Abena Dansowaa","23","32","2.804","2.843","4","17.4","56.5","21.7","4.3","9","1","2","1","4","6","3","0","1","4","0","0","1","0","2","7","0","0","0","0","0","0","0","0","06-08-2018",
"Spring 2018","4182","1","Regular Academic Session","AAAD","AAAD-A","398","14517","ADV TPCS IN SOCIAL&HIST AAADS","Hamilton Abegunde,Maria Eliza","7","11","2.714","2.693","9.1","57.1","14.3","0.0","0.0","6","0","4","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","1","0","06-08-2018",
